id	filename	md5	size	state
00166964-4137-4b93-b61d-f9182e90ed8c	nationwidechildrens.org_clinical.TCGA-CV-6935.xml	7f4bb48b8ff84fa80da22e519087d1e4	23226	live
00592d19-1c82-4679-88b9-3558e9e5ec10	nationwidechildrens.org_clinical.TCGA-F7-A623.xml	0c363bd37f880fa3e9e28850617768bb	38195	live
0088e76c-a4ab-48a7-9a16-5f814bb96091	nationwidechildrens.org_clinical.TCGA-CV-5976.xml	27060c28a30c694a676bd5999081b7c7	23390	live
00acf56c-0222-4aaa-b0b4-0241c12920fc	nationwidechildrens.org_clinical.TCGA-CQ-5324.xml	af8f1fdb19410f4619f34d7846ad828b	40862	live
01c6da2f-ef3f-4473-bce2-11432a5f63c0	nationwidechildrens.org_clinical.TCGA-QK-A8Z9.xml	5fcfcf035c020a66c84527d40c4817df	86804	live
0365e85d-5cfb-489f-b388-6eac2d895b7b	nationwidechildrens.org_clinical.TCGA-DQ-5630.xml	499b433f0caa99a5c1ebf2a288933436	45796	live
03d911ef-ce9c-4ff3-b98c-bd76ae7fdd81	nationwidechildrens.org_clinical.TCGA-CV-6950.xml	272574b49ede6bc5014264dcded84c0a	38629	live
0426ca57-7a8d-44b9-b8cf-f4997fbbc764	nationwidechildrens.org_clinical.TCGA-UF-A7JA.xml	bd53a0f2c82bf36346eee06973c5557e	52847	live
042c5a5d-9926-4fbb-b326-d11c936a6247	nationwidechildrens.org_clinical.TCGA-CV-A6K1.xml	19140d8b5f16e369e0147865abcf32ab	38990	live
0470da5f-f189-4ed2-b5c9-cc4df2a90944	nationwidechildrens.org_clinical.TCGA-CN-5374.xml	129265b7f90550e0074b4f90bf528ed4	51705	live
058b476a-e813-44e3-bf25-6de38ccdde30	nationwidechildrens.org_clinical.TCGA-CV-7099.xml	1abe1d8edf26b83ee29d4e767d5505ac	33213	live
058ec0e4-3b9d-40ea-8a1e-e0629fa7ec74	nationwidechildrens.org_clinical.TCGA-CV-7409.xml	c3d4d460ea41cf4cb54b3886076c5562	32934	live
059004a3-1415-4e1a-9578-d8332331b6ac	nationwidechildrens.org_clinical.TCGA-F7-A50J.xml	fd454514a66259448bb6b41082200824	53987	live
063f7f18-cea6-4ff3-878c-e1b3088e9fb5	nationwidechildrens.org_clinical.TCGA-BA-4074.xml	25c1c3267a63e74dfbb5709eb0f19bad	46749	live
067e8c1d-501e-4f5d-9b0a-72a6a5c92aa3	nationwidechildrens.org_clinical.TCGA-D6-A74Q.xml	a31fa9befd94dd4b641f305cfdf2ac40	48855	live
06dd0038-fe36-4286-b0c4-8d09d5f10629	nationwidechildrens.org_clinical.TCGA-CN-6988.xml	83de88e77c2e8bc51d8b8cfa679267eb	40738	live
08bae3c4-8c6d-4d97-a2b0-8a2cb7b3475b	nationwidechildrens.org_clinical.TCGA-CV-6441.xml	2262f8613679bcfe02f120f080a34994	33858	live
08cd1dd9-2200-4ec3-9ec1-96ddf7c1b395	nationwidechildrens.org_clinical.TCGA-H7-A76A.xml	b96572cb293ee83fb6dce2ad70751d4b	47721	live
08e4b13e-5810-411b-bcf9-1fbe1975289b	nationwidechildrens.org_clinical.TCGA-CV-A45X.xml	da88dff6222b8efbdf3e8e1ae1629e54	43001	live
08f528af-e0ab-49be-b037-b3b7b70a5d78	nationwidechildrens.org_clinical.TCGA-CR-6478.xml	e9af859651d58e54af127207284da41e	70305	live
0b73f8b3-8854-426e-bcef-ee203b09c71f	nationwidechildrens.org_clinical.TCGA-CN-A6V7.xml	ef819c2f869a68742bf13c6154fafbfb	54322	live
0b9e7efd-c8a1-476a-b336-9524d7190c34	nationwidechildrens.org_clinical.TCGA-DQ-7596.xml	4f940b17f79df293e6e377ddf3ba0984	63401	live
0c0eb577-9cf5-45ad-bead-a63e92239ce0	nationwidechildrens.org_clinical.TCGA-F7-A622.xml	935d89f4e40b1c9c7a093677433b64b1	33355	live
0c3a9b60-7c1f-448a-a02b-945f9f2e2bf4	nationwidechildrens.org_clinical.TCGA-CV-A6JU.xml	061e9019cb0718af14a6947c90695594	33107	live
0cc7d122-84bf-4efa-9a5b-46e5b0829429	nationwidechildrens.org_clinical.TCGA-CN-A6V6.xml	f132f31dee671cca1b62aeca1e20854b	54798	live
0cd5ad68-90ea-4cd7-b6ed-421b0db5930a	nationwidechildrens.org_clinical.TCGA-CR-7385.xml	dd4e6271e96541c71fd1c004309e0d48	41543	live
0d2a2d4d-141f-4797-8998-1d0526d151ab	nationwidechildrens.org_clinical.TCGA-D6-6517.xml	00e191458aedd05b3c76861b58d70186	52202	live
0ed1fd17-0384-49d5-9a30-5c39081d1788	nationwidechildrens.org_clinical.TCGA-P3-A6T3.xml	f94431ae0d1733f9ccedf59e49612bf6	41524	live
0f6ae6e6-7ade-48a1-8121-439be1a62a38	nationwidechildrens.org_clinical.TCGA-CN-4725.xml	0cc1b05e89c6c300858a127b05bb75f1	40890	live
0fb2d985-441f-4912-8bdc-1987688de557	nationwidechildrens.org_clinical.TCGA-CV-6003.xml	35c59521ddca297b42a6400b303305b1	33437	live
100e3778-cf67-472a-9d00-57d1efb99b47	nationwidechildrens.org_clinical.TCGA-T2-A6X0.xml	48873dd7e377e33a21de2ff22760b7d5	38741	live
10b66ff8-d6d1-436c-ad95-3ac0701d652b	nationwidechildrens.org_clinical.TCGA-CN-6997.xml	1b17026ca9e6ffcf72fb83854820fdb4	75470	live
10cff65b-35a9-4c62-81d3-d21548eb934f	nationwidechildrens.org_clinical.TCGA-DQ-7588.xml	00225d760afd7f450a3716a991ab3592	74712	live
10e7a283-4a77-4206-8152-e658fefd336f	nationwidechildrens.org_clinical.TCGA-DQ-5625.xml	6df51df97779b3ac050b49bbebf346a9	41436	live
11a09d26-a32d-4e62-a042-474b7ab9dec5	nationwidechildrens.org_clinical.TCGA-UP-A6WW.xml	bc51040837979bfb312bd60041ef5d9d	38572	live
1217413c-b4a9-46cf-b512-463140dbd7f9	nationwidechildrens.org_clinical.TCGA-UF-A7JV.xml	afd96b7501af00dbbc5459928e564a33	26283	live
1226616c-aa9f-4e2c-a685-f4bd3c6f887d	nationwidechildrens.org_clinical.TCGA-BB-4225.xml	8251a87df981747241a8f283a12d5396	51146	live
126849ed-16f6-4522-85d2-250487f1f1e2	nationwidechildrens.org_clinical.TCGA-CV-6433.xml	8a44ec5838cb60740cb0c44f8d07344a	30709	live
13241327-869f-47c2-aef7-6592ccf1510b	nationwidechildrens.org_clinical.TCGA-QK-A6V9.xml	11ea27bb5152b7206e9dc634aff79965	33690	live
136af6ab-5dc5-4cfa-84ef-0ee80225bab5	nationwidechildrens.org_clinical.TCGA-CV-A6JZ.xml	0fa05716155b60ac7af2e760637ddc31	36769	live
171a688e-b55f-4303-8ed0-9086cf32e357	nationwidechildrens.org_clinical.TCGA-IQ-A61L.xml	921e76c8474d51e23ee62967b99aad2b	57852	live
173b8b35-3688-4dbc-a2d9-0dca80b8a7e9	nationwidechildrens.org_clinical.TCGA-CN-5365.xml	49496da5a737d8c12da98604505cacda	30548	live
17e64119-0ffd-4589-9d25-441ad74c1cc4	nationwidechildrens.org_clinical.TCGA-MT-A51X.xml	080f230c14db154bde188a89dfbd8932	33771	live
18636e9a-c08e-4e35-b69b-7ffe2b37c46e	nationwidechildrens.org_clinical.TCGA-BA-5153.xml	dde9dcbf87c18f901f9bc6362b84576a	71783	live
18673b9a-9f90-4f63-b5a3-79100d8134c4	nationwidechildrens.org_clinical.TCGA-IQ-7630.xml	99f9d66a7d509a90b7a9a74b91191a6b	49704	live
